[13/Aug/2022 05:17:54] INFO [django.utils.autoreload:677] Watching for file changes with StatReloader
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\venvq\lib\site-packages\crispy_forms\templates with glob **/*.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\venvq\lib\site-packages\django_forms_bootstrap\templates with glob **/*.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\venvq\lib\site-packages\embed_video\templates with glob **/*.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\elearn\templates with glob **/*.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\venvq\lib\site-packages\bootstrap3\templates with glob **/*.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\locale with glob **/*.mo.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\venvq\lib\site-packages\widget_tweaks\locale with glob **/*.mo.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\venvq\lib\site-packages\bootstrap_modal_forms\locale with glob **/*.mo.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\venvq\lib\site-packages\bootstrap3\locale with glob **/*.mo.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\venvq\lib\site-packages\django_forms_bootstrap\locale with glob **/*.mo.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\venvq\lib\site-packages\crispy_forms\locale with glob **/*.mo.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\venvq\lib\site-packages\embed_video\locale with glob **/*.mo.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qedu\elearn\locale with glob **/*.mo.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qeduelearn\locale with glob **/*.mo.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:296] Watching dir C:\Users\Admin\Desktop\qeduelearn\templates\dashboard\learner with glob **/*.mo.
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1658158216.6081016
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1658158218.1761012
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\test\utils.py first seen with mtime 1658158218.2801013
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\email\errors.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\core\mail\utils.py first seen with mtime 1658158218.096101
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\widget_tweaks\templatetags\widget_tweaks.py first seen with mtime 1658158235.6844442
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\xml\parsers\__init__.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1658158215.736102
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1658158215.736102
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\urllib3\fields.py first seen with mtime 1658158230.3416781
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\db\models\fields\reverse_related.py first seen with mtime 1658158218.1841006
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\runners.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\bisect.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:54] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\calendar.py first seen with mtime 1654510966.0
